child,parent
General and reference,Computing Classification System
Hardware,Computing Classification System
Networks,Computing Classification System
Applied computing,Computing Classification System
Information systems,Computing Classification System
Security and privacy,Computing Classification System
Cross-computing tools and techniques,General and reference
Experimentation,Cross-computing tools and techniques
Validation,Cross-computing tools and techniques
Estimation,Cross-computing tools and techniques
Hardware validation,Hardware
Power and energy,Hardware
Network components,Networks
Information systems applications,Information systems
Mobile information processing systems,Information systems applications
Human and societal aspects of security and privacy,Security and privacy
Life and medical sciences,Applied computing
Process control systems,Applied computing
Energy distribution,Applied computing
