child,parent
beverage,food
fruit,food
persimmons,fruit
pears,fruit
peaches,fruit
melons,fruit
mangos,fruit
guavas,fruit
papayas,fruit
cherimoyas,fruit
soursops,fruit
loquats,fruit
nectarines,fruit
plumcots,fruit
homli fruits,fruit
seeds,food
ogbono nuts,seeds
almonds,seeds
cashews,seeds
pecel,seeds
katara,seeds
tequilaseed,seeds
coconuts,seeds
prickly pears,seeds
persimmons,seeds
prepared food,food
hors d'oeuvres,prepared food
dough,prepared food
pie fillings,prepared food
candy bars,prepared food
candy corn,prepared food
gumdrops,prepared food
taffy,prepared food
marshmallows,prepared food
lollipops,prepared food
gummy sweets,prepared food
baking chocolate,prepared food
chocolate mints,prepared food
chocolate assortments,prepared food
peanut butter cups,prepared food
pique verde boricua,prepared food
wow-wow sauce,prepared food
horseradish sauce,prepared food
sauce ravigote,prepared food
pesto,prepared food
worcestershire sauce,prepared food
hot sauce,prepared food
feijoas,food
dairy product,food
milk,dairy product
cottage cheese,dairy product
butter and margarine,dairy product
cheese,dairy product
eggs,food
cooking ingredient,food
cooking wine,cooking ingredient
beer,cooking ingredient
vodka,cooking ingredient
whisky,cooking ingredient
wine,cooking ingredient
cider,cooking ingredient
infusion,cooking ingredient
coffee creamer,cooking ingredient
tea,cooking ingredient
powdered tea,cooking ingredient
powdered beverage mixes,cooking ingredient
baking soda,cooking ingredient
baking chocolate,cooking ingredient
sugar,cooking ingredient
floss sugar,sugar
sugar apples,sugar
dates,sugar
figs,sugar
pomegranates,sugar
persimmons,sugar
sweetener,cooking ingredient
unflavored gelatine,cooking ingredient
edible baking decoration,cooking ingredient
seeds,cooking ingredient
ogbono nuts,seeds
almonds,seeds
cashews,seeds
pecel,seeds
katara,seeds
tequilaseed,seeds
coconuts,seeds
prickly pears,seeds
persimmons,seeds
condiment,cooking ingredient
sauce,condiment
ragù,sauce
caruso sauce,sauce
khrenovina sauce,sauce
wow-wow sauce,sauce
horseradish sauce,sauce
sauce ravigote,sauce
pesto,sauce
worcestershire sauce,sauce
hot sauce,sauce
peach sauce,sauce
tomato paste,sauce
beurre noisette,sauce
rouille,sauce
pique verde boricua,sauce
rântaş,sauce
katara,sauce
pomegranates,sauce
persimmons,sauce
food colouring,cooking ingredient
condiment,cooking ingredient
cheese,cooking ingredient
cooking wine,cooking ingredient
beer,cooking ingredient
vodka,cooking ingredient
whisky,cooking ingredient
wine,cooking ingredient
cider,cooking ingredient
infusion,cooking ingredient
coffee creamer,cooking ingredient
tea,cooking ingredient
powdered tea,cooking ingredient
powdered beverage mixes,cooking ingredient
baking soda,cooking ingredient
baking chocolate,cooking ingredient
sugar,cooking ingredient
floss sugar,sugar
sugar apples,sugar
dates,sugar
figs,sugar
pomegranates,sugar
persimmons,sugar
sweetener,cooking ingredient
unflavored gelatine,cooking ingredient
edible baking decoration,cooking ingredient
seeds,cooking ingredient
ogbono nuts,seeds
almonds,seeds
cashews,seeds
pecel,seeds
katara,seeds
tequilaseed,seeds
coconuts,seeds
prickly pears,seeds
persimmons,seeds
condiment,cooking ingredient
sauce,condiment
ragù,sauce
caruso sauce,sauce
khrenovina sauce,sauce
wow-wow sauce,sauce
horseradish sauce,sauce
sauce ravigote,sauce
pesto,sauce
worcestershire sauce,sauce
hot sauce,sauce
peach sauce,sauce
