child,parent
Emerging technologies,VLSI design manufacturing considerations
VLSI design manufacturing considerations,Very large scale integration design
Very large scale integration design,Hardware
Hardware,Computing Classification System
Software development techniques,Software and its engineering
Software and its engineering,Computing Classification System
Software maintenance tools,Software and its engineering
Software creation and management,Software and its engineering
Software notations and tools,Software and its engineering
Architecture description languages,Software and its engineering
Security and privacy,Software and its engineering
Standard cell libraries,Hardware
Printed circuit boards,Hardware
Robustness,Software and its engineering
Emerging optical and photonic technologies,Emerging technologies
Theory of computation,Computing Classification System
System description languages,Software and its engineering
Economics of chip design and manufacturing,Hardware
VLSI packaging,Hardware
