child,parent
Hardware,Computing Classification System
Software and its engineering,Computing Classification System
Security and privacy,Computing Classification System
Theory of computation,Computing Classification System
Very large scale integration design,Hardware
Printed circuit boards,Hardware
Emerging technologies,Hardware
VLSI design manufacturing considerations,Very large scale integration design
VLSI packaging,VLSI design manufacturing considerations
Economics of chip design and manufacturing,VLSI design manufacturing considerations
Standard cell libraries,Very large scale integration design
Emerging optical and photonic technologies,Emerging technologies
Software notations and tools,Software and its engineering
System description languages,Software notations and tools
Architecture description languages,System description languages
Software creation and management,Software and its engineering
Software maintenance tools,Software creation and management
Software development techniques,Software and its engineering
Robustness,Software and its engineering
