child,parent
General and reference,Computing Classification System
Theory of computation,Computing Classification System
Mathematics of computing,Computing Classification System
Computing methodologies,Computing Classification System
Software and its engineering,Computing Classification System
Hardware,Computing Classification System
Networks,Computing Classification System
Security and privacy,Computing Classification System
Human-centered computing,Computing Classification System
Applied computing,Computing Classification System
Computing education,Computing Classification System
Social and professional topics,Computing Classification System
Professional topics,Computing Classification System
Computers in other domains,Computing Classification System
Reference works,General and reference
General literature,General and reference
"Computing standards, RFCs and guidelines",General and reference
Biographies,General and reference
Reference models,General and reference
Cross-computing tools and techniques,General and reference
Experimentation,General and reference
Data structures design and analysis,Design and analysis of algorithms
Sorting and searching,Design and analysis of algorithms
Graph algorithms analysis,Design and analysis of algorithms
Algorithm design techniques,Design and analysis of algorithms
Divide and conquer,Algorithm design techniques
Dynamic programming,Algorithm design techniques
Branch-and-bound,Algorithm design techniques
Online algorithms,Design and analysis of algorithms
Streaming models,Design and analysis of algorithms
"Streaming, sublinear and near linear time algorithms",Streaming models
Sketching and sampling,Streaming models
Approximation algorithms analysis,Design and analysis of algorithms
Rounding techniques,Approximation algorithms analysis
Predecessor queries,Data structures design and analysis
Fixed parameter tractability,Parameterized complexity and exact algorithms
W hierarchy,Parameterized complexity and exact algorithms
Turing machines,Models of computation
Recursive functions,Models of computation
Computability,Theory of computation
Abstract machines,Theory of computation
Interactive computation,Theory of computation
Random order and robust communication complexity,Theory of computation
Pseudorandomness and derandomization,Theory of computation
Theory and algorithms for application domains,Theory of computation
Finite Model Theory,Theory of computation
Grammars and context-free languages,Formal languages and automata theory
Regular languages,Formal languages and automata theory
Tree languages,Formal languages and automata theory
Algebraic language theory,Formal languages and automata theory
Automata extensions,Formal languages and automata theory
Automata over infinite objects,Automata extensions
Quantitative automata,Automata extensions
Proof theory,Logic
Higher order logic,Logic
Linear logic,Logic
Modal and temporal logics,Logic
Equational logic and rewriting,Logic
Type theory,Logic
Programming logic,Logic
Semantics and reasoning,Theory of computation
Denotational semantics,Semantics and reasoning
Action semantics,Semantics and reasoning
Program schemes,Theory of computation
Algorithmic game theory,Algorithmic game theory and mechanism design
Market equilibria,Algorithmic game theory
Convergence and learning in games,Algorithmic game theory
Representations of games and their complexity,Algorithmic game theory
Exact and approximate computation of equilibria,Algorithmic game theory
Network games,Algorithmic game theory
Discrete mathematics,Mathematics of computing
Continuous mathematics,Mathematics of computing
Information theory,Mathematics of computing
"Randomness, geometry and discrete structures",Mathematics of computing
Number theory algorithms,Mathematics of computing
Boolean algebra algorithms,Mathematics of computing
Linear algebra algorithms,Mathematics of computing
Numeric approximation algorithms,Mathematics of computing
Equation and inequality solving algorithms,Mathematics of computing
Preconditioning,Mathematics of computing
Continuous functions,Continuous mathematics
Random graphs,Graph theory
Topology analysis and generation,Graph theory
Expander graphs and randomness extractors,"Randomness, geometry and discrete structures"
Random walks and Markov chains,Mathematics and statistics
Stochastic approximation,Mathematics and statistics
Mathematical software performance,Mathematical software
Statistical software,Mathematical software
Computer algebra systems,Mathematical software
Special-purpose algebraic systems,Computer algebra systems
Symbolic and algebraic manipulation,Mathematical software
Symbolic and algebraic algorithms,Mathematics of computing
Representation of mathematical objects,Mathematical software
Hybrid symbolic-numeric methods,Mathematical software
Machine learning,Artificial intelligence
Machine learning theory,Machine learning
Learning paradigms,Machine learning
Learning settings,Machine learning
Semi-supervised learning,Learning paradigms
Unsupervised learning,Learning paradigms
Active learning,Learning paradigms
Lifelong machine learning,Learning paradigms
Online learning settings,Learning settings
Online learning algorithms,Online learning settings
Online learning theory,Machine learning theory
Sample complexity and generalization bounds,Machine learning theory
Topic modeling,Machine learning
Mixture modeling,Machine learning
Bayesian analysis,Machine learning
Anomaly detection,Machine learning
Nearest neighbor algorithms,Machine learning
Inductive inference,Machine learning theory
Distributed artificial intelligence,Artificial intelligence
Philosophical/theoretical foundations of artificial intelligence,Artificial intelligence
Vision for robotics,Artificial intelligence
Simulation theory,Modeling and simulation
Simulation types and techniques,Modeling and simulation
Simulation by animation,Simulation types and techniques
