child,parent
Hardware,Computing Classification System
Information systems,Computing Classification System
Software and its engineering,Computing Classification System
Computing methodologies,Computing Classification System
Networks,Computing Classification System
Human-centered computing,Computing Classification System
Applied computing,Computing Classification System
Social and professional topics,Computing Classification System
Computing education,Computing Classification System
Mathematics of computing,Computing Classification System
General and reference,Computing Classification System
Security and privacy,Computing Classification System
Embedded and cyber-physical systems,Computing Classification System
Electronic design automation,Hardware
VLSI packaging,Hardware
Printed circuit boards,Hardware
Logic families,Hardware
Emerging technologies,Hardware
Circuits power issues,Hardware
Power and energy,Hardware
Process variations,Hardware
Yield and cost modeling,Hardware
Electromagnetic interference and compatibility,Hardware
Hardware test,Hardware
Spintronics and magnetic technologies,Emerging technologies
Plasmonics,Emerging technologies
Emerging optical and photonic technologies,Emerging technologies
Chip-level power issues,Circuits power issues
Energy generation and storage,Power and energy
Energy distribution,Power and energy
Renewable energy,Energy generation and storage
Reusable energy storage,Energy generation and storage
Standard cell libraries,Integrated circuits
Very large scale integration design,Integrated circuits
Application specific integrated circuits,Integrated circuits
VLSI system specification and constraints,Very large scale integration design
Design for manufacturability,Very large scale integration design
Design for testability,Very large scale integration design
Logic synthesis,Very large scale integration design
Sequential synthesis,Very large scale integration design
Technology-mapping,Very large scale integration design
On-chip resource management,Very large scale integration design
Functional verification,Electronic design automation
Physical verification,Electronic design automation
Assertion checking,Electronic design automation
Power estimation and optimization,Electronic design automation
Power and thermal analysis,Electronic design automation
Modeling and parameter extraction,Electronic design automation
PCB design and layout,Printed circuit boards
Reversible logic,Logic families
Digital switches,Logic families
Fault models and test metrics,Hardware test
Test-pattern generation and fault simulation,Hardware test
Post-manufacture validation and debug,Hardware test
Process validation,Hardware test
Hardware validation,Hardware test
Hardware reliability screening,Hardware test
Bug fixing (hardware),Hardware test
Information storage systems,Information systems
Enterprise computing,Applied computing
Enterprise data management,Information systems
Document management and text processing,Information systems
Data extraction and integration,Information systems
Health care information systems,Information systems
Web services,World Wide Web
Web mining,World Wide Web
Web log analysis,World Wide Web
Web data description languages,World Wide Web
Universal Description Discovery and Integration (UDDI),Web services
Storage management,Information storage systems
Memory and dense storage,Information storage systems
Image compression,Information storage systems
Business process management,Enterprise computing
Business process modeling,Business process management
Document management,Document management and text processing
Document metadata,Document management and text processing
Health informatics,Health care information systems
