child,parent
VLSI packaging,Very large scale integration design
Standard cell libraries,Very large scale integration design
Very large scale integration design,Hardware
VLSI design manufacturing considerations,VLSI packaging
Hardware,Computing Classification System
Software and its engineering,Computing Classification System
Software notations and tools,Software and its engineering
Software creation and management,Software and its engineering
Software maintenance tools,Software and its engineering
Software development techniques,Software and its engineering
Security and privacy,Software and its engineering
Architecture description languages,Software and its engineering
Emerging technologies,Computing Classification System
Emerging optical and photonic technologies,Emerging technologies
Robustness,Security and privacy
Printed circuit boards,Hardware
