child,parent
Computer systems organization,Computing Classification System
Software and its engineering,Computing Classification System
Information systems,Computing Classification System
Theory of computation,Computing Classification System
Computing methodologies,Computing Classification System
Mathematics of computing,Computing Classification System
Security and privacy,Computing Classification System
Networks,Computing Classification System
Human-centered computing,Computing Classification System
Applied computing,Computing Classification System
General and reference,Computing Classification System
Computing organizations,Computing Classification System
Computing profession,Computing Classification System
Hardware,Computing Classification System
Social and professional topics,Computing Classification System
Information systems applications,Information systems
Database and storage security,Security and privacy
Information retrieval,Information systems
Information storage systems,Information systems
Data mining,Information systems
Data structures and algorithms for data management,Information systems
Database theory,Information systems
Database management system engines,Information systems
Database design and models,Information systems
Database administration,Information systems
Database interoperability,Information systems
Database performance evaluation,Information systems
Database recovery,Information systems
Database utilities and tools,Information systems
Database query languages (principles),Information systems
Database query processing,Information systems
Database query processing and optimization (theory),Information systems
Database transaction processing,Information systems
Distributed database transactions,Information systems
Distributed database recovery,Information systems
Distributed data locking,Information systems
Concurrency control,Information systems
Data modeling,Information systems
Physical data models,Database design and models
Entity relationship models,Database design and models
Relational database model,Database design and models
Graph-based database models,Database design and models
Hierarchical data models,Database design and models
Main memory engines,Database management system engines
DBMS engine architectures,Database management system engines
Parallel and distributed DBMSs,Database management system engines
Relational parallel and distributed DBMSs,Parallel and distributed DBMSs
Column based storage,Database management system engines
Query languages,Information systems
XML query languages,Query languages
Query operators,Database query processing
Query optimization,Database query processing
Query planning,Database query processing
Query representation,Database query processing
Data access methods,Information systems
Data extraction and integration,Information systems
Data integration,Information systems
Information integration,Information systems
Information integration and interoperability,Information systems
Integration frameworks,Information systems
Data federation tools,Information systems
Middleware for databases,Information systems
Middleware,Information systems
Reflective middleware,Middleware
Message oriented middleware,Middleware
Message queues,Middleware
Enterprise data management,Information systems
Database web servers,Information systems
Top-k retrieval in databases,Information systems
Retrieval models and ranking,Information retrieval
Probabilistic retrieval models,Retrieval models and ranking
Presentation of retrieval results,Information retrieval
Retrieval effectiveness,Information retrieval
Retrieval efficiency,Information retrieval
Evaluation of retrieval results,Information retrieval
Relevance assessment,Information retrieval
Users and interactive retrieval,Information retrieval
Query intent,Information retrieval
Query learning,Information retrieval
Query suggestion,Information retrieval
Query log analysis,Information retrieval
Document representation,Information retrieval
Document management and text processing,Information retrieval
Document filtering,Information retrieval
Document searching,Information retrieval
Specialized information retrieval,Information retrieval
Adversarial retrieval,Information retrieval
Near-duplicate and plagiarism detection,Information retrieval
Expert search,Information retrieval
Link and co-citation analysis,Information retrieval
Search engine architectures and scalability,Information retrieval
Search engine indexing,Information retrieval
Web searching and information discovery,Information retrieval
Web search engines,Information retrieval
Page and site ranking,World Wide Web
Information retrieval diversity,Information retrieval
Web applications,World Wide Web
Web mining,World Wide Web
Web crawling,World Wide Web
Web indexing,World Wide Web
Web data description languages,World Wide Web
Hypertext / hypermedia creation,World Wide Web
Browsers,World Wide Web
Web Services Description Language (WSDL),World Wide Web
Simple Object Access Protocol (SOAP),World Wide Web
Universal Description Discovery and Integration (UDDI),World Wide Web
RESTful web services,World Wide Web
Web services,World Wide Web
Site wrapping,World Wide Web
Mashups,World Wide Web
World Wide Web (network structure),World Wide Web
Storage architectures,Information storage systems
Storage network architectures,Information storage systems
Network attached storage,Information storage systems
Direct attached storage,Information storage systems
Cloud based storage,Information storage systems
Storage class memory,Information storage systems
Flash memory,Information storage systems
Magnetic disks,Information storage systems
Magnetic tapes,Information storage systems
Tape libraries,Information storage systems
Thin provisioning,Information storage systems
Remote replication,Information storage systems
Mirroring,Information storage systems
Backup procedures,Information storage systems
Storage recovery strategies,Information storage systems
Storage power management,Information storage systems
Record storage systems,Information storage systems
Record storage alternatives,Record storage systems
Record and block layout,Record storage systems
Record layout alternatives,Record and block layout
Slotted pages,Record and block layout
Block / page strategies,Record and block layout
Record and buffer management,Information storage systems
Caching and paging algorithms,Storage management
Data layout,Information storage systems
Directory structures,Information storage systems
Storage management,Information storage systems
File system security,Database and storage security
Clustering and classification,Data mining
Association rules,Data mining
Entity resolution,Data mining
Anomaly detection,Data mining
Content analysis and feature selection,Data mining
Proximity search,Data mining
Summarization,Data mining
Data anonymization and sanitization,Information systems
Data streaming,Information systems
Wrappers (data mining),Data mining
Near-duplicate and plagiarism detection,Data mining
Topic modeling,Data mining
Document topic models,Topic modeling
Enterprise computing,Computing organizations
Enterprise computing infrastructures,Enterprise computing
Enterprise architectures,Enterprise computing
