child,parent
cake,bakery
bakery,prepared food
prepared food,food
food,beverage
beverage,liquor
liquor,prepared food
prepared food,food
food,dairy product
dairy product,butter and margarine
butter and margarine,prepared food
prepared food,food
food,meat
meat,sausage
sausage,deli meats
deli meats,prepared food
prepared food,food
food,savory
savory,side dishes
side dishes,prepared food
prepared food,food
food,sweet
sweet,candy bars
candy bars,sweets
sweets,prepared food
prepared food,food
food,fruit
fruit,persimmons
persimmons,mamey
mamey,passion fruit
passion fruit,feijoas
feijoas,rambutans
rambutans,mangosteens
mangosteens,sapodillo
sapodillo,fruit
fruit,fruit cake
fruit cake,cake
cake,bakery
bakery,prepared food
prepared food,food
food,beverage
beverage,liquor
liquor,prepared food
prepared food,food
food,dairy product
dairy product,butter and margarine
butter and margarine,prepared food
prepared food,food
food,meat
meat,sausage
sausage,deli meats
deli meats,prepared food
prepared food,food
food,savory
savory,side dishes
side dishes,prepared food
prepared food,food
food,sweet
sweet,candy bars
candy bars,sweets
sweets,prepared food
prepared food,food
food,fruit
fruit,persimmons
persimmons,mamey
mamey,passion fruit
passion fruit,feijoas
feijoas,rambutans
rambutans,mangosteens
mangosteens,sapodillo
sapodillo,fruit
fruit,fruit cake
fruit cake,cake
cake,bakery
bakery,prepared food
prepared food,food
food,beverage
beverage,liquor
liquor,prepared food
prepared food,food
food,dairy product
dairy product,butter and margarine
butter and margarine,prepared food
prepared food,food
food,meat
meat,sausage
sausage,deli meats
deli meats,prepared food
prepared food,food
food,savory
savory,side dishes
side dishes,prepared food
prepared food,food
food,sweet
sweet,candy bars
candy bars,sweets
sweets,prepared food
prepared food,food
food,fruit
fruit,persimmons
persimmons,mamey
mamey,passion fruit
passion fruit,feijoas
feijoas,rambutans
rambutans,mangosteens
mangosteens,sapodillo
sapodillo,fruit
fruit,fruit cake
fruit cake,cake
cake,bakery
bakery,prepared food
prepared food,food
food,beverage
beverage,liquor
liquor,prepared food
prepared food,food
food,dairy product
dairy product,butter and margarine
butter and margarine,prepared food
prepared food,food
food,meat
meat,sausage
sausage,deli meats
deli meats,prepared food
prepared food,food
food,savory
savory,side dishes
side dishes,prepared food
prepared food,food
food,sweet
sweet,candy bars
candy bars,sweets
sweets,prepared food
prepared food,food
food,fruit
fruit,persimmons
persimmons,mamey
mamey,passion fruit
passion fruit,feijoas
feijoas,rambutans
rambutans,mangosteens
mangosteens,sapodillo
sapodillo,fruit
fruit,fruit cake
fruit cake,cake
cake,bakery
bakery,prepared food
prepared food,food
food,beverage
beverage,liquor
liquor,prepared food
prepared food,food
food,dairy product
dairy product,butter and margarine
butter and margarine,prepared food
prepared food,food
food,meat
meat,sausage
sausage,deli meats
deli meats,prepared food
prepared food,food
food,savory
savory,side dishes
side dishes,prepared food
prepared food,food
food,sweet
sweet,candy bars
candy bars,sweets
sweets,prepared food
prepared food,food
food,fruit
fruit,persimmons
persimmons,mamey
mamey,passion fruit
passion fruit,feijoas
feijoas,rambutans
rambutans,mangosteens
mangosteens,sapodillo
sapodillo,fruit
fruit,fruit cake
fruit cake,cake
cake,bakery
bakery,prepared food
prepared food,food
food,beverage
beverage,liquor
liquor,prepared food
prepared food,food
food,dairy product
dairy product,butter and margarine
butter and margarine,prepared food
prepared food,food
food,meat
meat,sausage
sausage,deli meats
deli meats,prepared food
prepared food,food
food,savory
savory,side dishes
side dishes,prepared food
prepared food,food
food,sweet
sweet,candy bars
candy bars,sweets
sweets,prepared food
prepared food,food
food,fruit
fruit,persimmons
persimmons,mamey
mamey,passion fruit
passion fruit,feijoas
feijoas,rambutans
