child,parent
Network design principles,Network architectures
Network architectures,Networks
Emerging technologies,Network design principles
Network architectures,Information systems
Solvers,Mathematical software
Probability and statistics,Probabilistic representations
Statistical software,Probability and statistics
Security and privacy,Systems security
Human and societal aspects of security and privacy,Security and privacy
Data management systems,Information systems
Information systems,Computing Classification System
Mathematical software,Mathematics of computing
Mathematics of computing,Computing Classification System
Solvers,Mathematics of computing
Network design principles,Emerging technologies
Emerging technologies,Computing Classification System
Systems security,Computing Classification System
Probability and statistics,Mathematics of computing
Statistical software,Mathematics of computing
Mathematical analysis,Mathematics of computing
Programming interfaces,Mathematics of computing
Networks,Computing Classification System
Hardware,Computing Classification System
Computing Classification System,itself
