child,parent
Computer systems organization,Computing Classification System
Hardware,Computing Classification System
Software and its engineering,Computing Classification System
Information systems,Computing Classification System
Networks,Computing Classification System
Security and privacy,Computing Classification System
Computing methodologies,Computing Classification System
Theory of computation,Computing Classification System
Mathematics of computing,Computing Classification System
Human-centered computing,Computing Classification System
Applied computing,Computing Classification System
Social and professional topics,Computing Classification System
Computing / technology policy,Computing Classification System
Computing profession,Computing Classification System
General and reference,Computing Classification System
Event-driven architectures,Software and its engineering
Embedded and cyber-physical systems,Computer systems organization
Dependable and fault-tolerant systems and networks,Computer systems organization
Real-time systems,Computer systems organization
Fault tolerance,Dependable and fault-tolerant systems and networks
Safety critical systems,Dependable and fault-tolerant systems and networks
Real-time simulation,Real-time systems
Electronic design automation,Hardware
Physical design (EDA),Electronic design automation
Partitioning and floorplanning,Physical design (EDA)
Placement,Physical design (EDA)
Modeling and parameter extraction,Electronic design automation
Design rule checking,Electronic design automation
Physical verification,Electronic design automation
Design for manufacturability,Electronic design automation
VLSI system specification and constraints,Electronic design automation
VLSI design manufacturing considerations,Electronic design automation
PCB design and layout,Hardware
Printed circuit boards,PCB design and layout
Packaging,Hardware
VLSI packaging,Packaging
Transistors,Integrated circuits
Logic circuits,Hardware
Combinational circuits,Logic circuits
Sequential circuits,Logic circuits
Arithmetic and datapath circuits,Hardware
Analog and mixed-signal circuits,Hardware
Analog and mixed-signal circuit synthesis,Analog and mixed-signal circuits
Input / output circuits,Hardware
Full-custom circuits,Integrated circuits
Reconfigurable logic and FPGAs,Hardware
Reconfigurable logic applications,Reconfigurable logic and FPGAs
Application specific processors,Hardware
Application specific instruction set processors,Application specific processors
Hardware accelerators,Hardware
Metallic interconnect,Interconnect
Buses and high-speed links,Interconnect
Radio frequency and wireless interconnect,Interconnect
Circuit substrates,Hardware
Standard cell libraries,Hardware
Clock-network synthesis,Hardware
On-chip resource management,Hardware
Power estimation and optimization,Power and energy
Chip-level power issues,Power and energy
Platform power issues,Power and energy
Circuits power issues,Power and energy
Switching devices power issues,Power and energy
Enterprise level and data centers power issues,Power and energy
Power grid design,Power and energy
Power conversion,Power and energy
Temperature optimization,Power and energy
Thermal issues,Power and energy
Temperature monitoring,Power and energy
Tamper-proof and tamper-resistant designs,Security in hardware
Hardware security implementation,Security in hardware
Hardware validation,Hardware
Post-manufacture validation and debug,Hardware
Bug fixing (hardware),Hardware
Hardware reliability screening,Hardware
Design for testability,Hardware
Built-in self-test,Hardware test
Defect-based test,Hardware test
Test data compression,Hardware test
Fault models and test metrics,Hardware test
"Analog, mixed-signal and radio frequency test",Hardware test
Board- and system-level test,Hardware test
Online test and diagnostics,Hardware test
Hardware test,Hardware
Design for debug,Hardware
Non-volatile memory,Semiconductor memory
Storage class memory,Semiconductor memory
Superconducting circuits,Emerging architectures
Flexible and printable circuits,Emerging architectures
Carbon based electronics,Emerging architectures
Single electron devices,Emerging architectures
III-V compounds,Emerging architectures
Tunneling devices,Emerging architectures
Spintronics and magnetic technologies,Emerging architectures
Bio-embedded electronics,Emerging architectures
Nanoelectromechanical systems,Hardware
Microelectromechanical systems,Hardware
Electromechanical systems,Hardware
Electro-mechanical devices,Electromechanical systems
General programming languages,Software and its engineering
Emerging languages and compilers,Software and its engineering
Compilers,Software and its engineering
Retargetable compilers,Compilers
Just-in-time compilers,Compilers
Dynamic compilers,Compilers
Translator writing systems and compiler generators,Compilers
Preprocessors,Software and its engineering
Integrated and visual development environments,Software and its engineering
Software libraries and repositories,Software and its engineering
Program constructs,Software organization and properties
Functional constructs,Program constructs
Program analysis,Software organization and properties
Program reasoning,Software organization and properties
Program verification,Software organization and properties
Program semantics,Software organization and properties
Operational semantics,Program semantics
Axiomatic semantics,Program semantics
Action semantics,Program semantics
Program specifications,Software and its engineering
Assertions,Program specifications
Pre- and post-conditions,Program specifications
Separation logic,Program semantics
Formal specifications,Software and its engineering
Specification languages,Software and its engineering
Systems analysis and design,Software and its engineering
Software configuration management and version control systems,Version control
Implementation management,Software and its engineering
Software maintenance tools,Software and its engineering
Reengineering,Software and its engineering
Project and people management,Software and its engineering
Project management techniques,Project and people management
Project staffing,Project and people management
Design,Software and its engineering
Design reuse and communication-based design,Design
Architecture description languages,Software and its engineering
Service-oriented architectures,Software and its engineering
Event-driven architectures,Software and its engineering
Software as a service orchestration system,Service-oriented architectures
Orchestration languages,Service-oriented architectures
Post-manufacture validation and debug,Software and its engineering
Health informatics,Information systems applications
Medical technologies,Health informatics
Medical records,Health informatics
Personal health records,Health informatics
Health information exchanges,Health informatics
Patient privacy,Health informatics
Consumer health,Health informatics
Enterprise computing infrastructures,Enterprise computing
Enterprise data management,Enterprise computing
Information lifecycle management,Enterprise data management
Enterprise application integration,Enterprise computing
"Enterprise ontologies, taxonomies and vocabularies",Enterprise computing
Enterprise architectures,Enterprise computing
Enterprise architecture frameworks,Enterprise architectures
Enterprise architecture modeling,Enterprise architectures
Enterprise architecture management,Enterprise architectures
IT architectures,Enterprise computing
Business process management,Enterprise computing
Business process modeling,Business process management
Business rules,Business process management
Business process monitoring,Business process management
Cross-organizational business processes,Business process management
Storage architectures,Information storage systems
Storage management,Information storage systems
Storage replication,Storage management
Remote replication,Storage replication
Mirroring,Storage replication
Point-in-time copies,Storage management
Storage power management,Storage management
Relational storage,Information storage systems
Column based storage,Information storage systems
RAID,Information storage systems
Memory and dense storage,Information storage systems
External storage,Information storage systems
Cloud based storage,Information storage systems
Record storage systems,Information storage systems
Storage class memory,Information storage systems
Magnetic tapes,Information storage systems
Optical / magneto-optical disks,Information storage systems
Database theory,Databases
Database constraints theory,Database theory
"Incomplete, inconsistent, and uncertain databases",Database theory
Theory of database privacy and security,Database theory
Database protection laws,Databases
Database interoperability,Databases
Database query languages (principles),Databases
Database query processing and optimization (theory),Databases
Management and querying of encrypted data,Databases
Data anonymization and sanitization,Databases
Database activity monitoring,Databases
Document management and text processing,Information systems
Document types,Document management
Document metadata,Document management
Document analysis,Document management
Document capture,Document management
Document scanning,Document management
Optical character recognition,Document analysis
Graphics recognition and interpretation,Document analysis
Document searching,Information systems
Document scripting languages,Information systems
Record layout alternatives,Information systems
World Wide Web,Information systems
Web search engines,Information retrieval
Web searching and information discovery,Information retrieval
Web crawling,Information retrieval
Web log analysis,Information retrieval
Deep web,Information retrieval
Content ranking,Information retrieval
Search results deduplication,Information retrieval
Visual content-based indexing and retrieval,Information retrieval
Web-based interaction,Information systems
Hypertext / hypermedia,Information systems
Hypertext / hypermedia creation,Hypertext / hypermedia
Site wrapping,Information systems
Web data description languages,Information systems
Web mining,Information systems
Data mining,Information systems
Data modeling,Data management
Data integration,Data management
Data extraction and integration,Data management
Information integration and interoperability,Data management
Enterprise interoperability,Data management
Network architectures,Networks
Network components,Networks
Bridges and switches,Network components
Routers,Network components
Middle boxes / network appliances,Network components
Network adapters,Network components
End nodes,Network components
Intermediate nodes,Network components
Link-layer protocols,Network protocols
Network layer protocols,Network protocols
Presentation protocols,Network protocols
Signaling protocols,Network protocols
Transport protocols,Network protocols
Session protocols,Network protocols
Time synchronization protocols,Network protocols
Protocol correctness,Network protocols
Protocol testing and verification,Network protocols
Network protocol design,Network protocols
Cross-layer protocols,Network protocols
Layering,Network protocols
Short-range networks,Network domains
Wireless personal area networks,Network domains
Wireless local area networks,Network domains
Wireless access networks,Network domains
"Wireless access points, base stations and infrastructure",Wireless access networks
Mobile networks,Network domains
Mobile ad hoc networks,Mobile networks
Wide area networks,Network domains
Wireline communication,Network domains
Data center networks,Network domains
Home networks,Network domains
Programmable networks,Network domains
Overlay and other logical network structures,Network domains
Packet-switching networks,Network domains
Network File System (NFS) protocol,Network domains
Radio frequency and wireless interconnect,Networking hardware
High-speed input / output,Networking hardware
Physical links,Networking hardware
Network operations,Networks
Network manageability,Network operations
Network management,Network operations
Network monitoring,Network operations
Network measurement,Network operations
Network performance analysis,Network operations
Network performance modeling,Network operations
Network performance evaluation,Network operations
Network reliability,Network operations
Network simulations,Network operations
