child,parent
Computer systems organization,Computing Classification System
Software and its engineering,Computing Classification System
Computing methodologies,Computing Classification System
Information systems,Computing Classification System
Human-centered computing,Computing Classification System
Security and privacy,Computing Classification System
Networks,Computing Classification System
Hardware,Computing Classification System
Mathematics of computing,Computing Classification System
Theory of computation,Computing Classification System
Applied computing,Computing Classification System
General and reference,Computing Classification System
Social and professional topics,Computing Classification System
Professional topics,Social and professional topics
Computing education,Social and professional topics
Computing industry,Social and professional topics
Information systems applications,Information systems
Enterprise computing,Information systems applications
Enterprise computing infrastructures,Enterprise computing
Enterprise data management,Enterprise computing
Enterprise architecture management,Enterprise computing
Enterprise architectures,Enterprise architecture management
Enterprise architecture frameworks,Enterprise architectures
Enterprise modeling,Enterprise computing
Business process management,Enterprise computing
Business process modeling,Business process management
Business process monitoring,Business process management
Cross-organizational business processes,Enterprise computing
Business rules,Enterprise computing
World Wide Web,Information systems
Web search engines,World Wide Web
Web searching and information discovery,World Wide Web
Deep web,Web searching and information discovery
Web interfaces,World Wide Web
Web applications,World Wide Web
Web data description languages,World Wide Web
Mashups,World Wide Web
Site wrapping,World Wide Web
Browsers,World Wide Web
Internet communications tools,World Wide Web
Email,Internet communications tools
Texting,Internet communications tools
Information retrieval,Information systems
Retrieval models and ranking,Information retrieval
Retrieval tasks and goals,Information retrieval
Users and interactive retrieval,Information retrieval
Evaluation of retrieval results,Information retrieval
Relevance assessment,Evaluation of retrieval results
Information retrieval query processing,Information retrieval
Query representation,Information retrieval query processing
Abstraction and micro-operators,Query representation
Presentation of retrieval results,Users and interactive retrieval
Search interfaces,Users and interactive retrieval
Query reformulation,Information retrieval
Rank aggregation,Information retrieval
Search results deduplication,Information retrieval
Recommender systems,Information retrieval
Document representation,Information retrieval
Thesauri,Document representation
Dictionaries,Document representation
Document types,Document representation
Document collection models,Information retrieval
Clustering and classification,Information retrieval
Clustering,Clustering and classification
Data management systems,Information systems
Database management system engines,Data management systems
Database utilities and tools,Data management systems
Database views,Data management systems
Query languages,Data management systems
Query languages for non-relational engines,Query languages
XML query languages,Query languages
XPath,XML query languages
Database query processing,Data management systems
Join algorithms,Database query processing
Query planning,Database query processing
Database transaction processing,Data management systems
Transaction logging,Database transaction processing
Database performance evaluation,Data management systems
Database administration,Data management systems
Autonomous database administration,Database administration
Record storage systems,Data management systems
Record storage alternatives,Record storage systems
Record and buffer management,Data management systems
Hashed file organization,Record storage systems
Indexed file organization,Record storage systems
Storage replication,Record storage systems
Remote replication,Storage replication
RAID,Record storage systems
Data access methods,Data management systems
Data scans,Data access methods
Point lookups,Data access methods
Stream management,Data management systems
Data extraction and integration,Information systems
"Extraction, transformation and loading",Data extraction and integration
Information integration,Data extraction and integration
Online analytical processing engines,Data management systems
Main memory engines,Data management systems
Data encoding and canonicalization,Data management systems
Data dictionaries,Data management systems
Web mining,Data mining
Data mining,Information systems
Query log analysis,Data mining
Entity resolution,Data mining
Similarity measures,Data mining
Computational advertising,World Wide Web
Online advertising,Computational advertising
Display advertising,Online advertising
Social advertising,Online advertising
Content match advertising,Computational advertising
Security and privacy,Computing Classification System
Cryptography,Security and privacy
Symmetric cryptography and hash functions,Cryptography
Block and stream ciphers,Symmetric cryptography and hash functions
Hash functions and message authentication codes,Symmetric cryptography and hash functions
Public key (asymmetric) techniques,Cryptography
Digital signatures,Public key (asymmetric) techniques
Mathematical foundations of cryptography,Cryptography
Cryptanalysis and other attacks,Cryptography
Security services,Security and privacy
Authentication,Security services
Authorization,Security services
Access control,Security services
Key management,Security services
Systems security,Security and privacy
Operating systems security,Systems security
Browser security,Systems security
Distributed systems security,Systems security
Web application security,Systems security
Database and storage security,Systems security
Embedded systems security,Systems security
File system security,Systems security
Integrity checking,Systems security
Network access control,Systems security
Network access restrictions,Systems security
Intrusion/anomaly detection and malware mitigation,Systems security
Intrusion detection systems,Intrusion/anomaly detection and malware mitigation
Malware and its mitigation,Intrusion/anomaly detection and malware mitigation
Vulnerability management,Systems security
Vulnerability scanners,Vulnerability management
Management and querying of encrypted data,Database and storage security
Database activity monitoring,Database and storage security
Privacy protections,Security and privacy
"Pseudonymity, anonymity and untraceability",Privacy protections
Information accountability and usage control,Privacy protections
Formal methods and theory of security,Security and privacy
Formal security models,Formal methods and theory of security
Information flow control,Formal methods and theory of security
Trusted computing,Security and privacy
Domain-specific security and privacy architectures,Security and privacy
Social network security and privacy,Security and privacy
Risk management,Security and privacy
Robustness,Security and privacy
