child,parent
Security in hardware,Hardware
Information systems,Information systems applications
Information systems applications,Computing Classification System
Database and storage security,Systems security
Systems security,Computing Classification System
Theory of computation,Computing Classification System
Information accountability and usage control,Systems security
Formal methods and theory of security,Systems security
Security and privacy,Systems security
Human and societal aspects of security and privacy,Security and privacy
Hardware attacks and countermeasures,Security in hardware
Security in hardware,Hardware
VLSI packaging,Very large scale integration design
Very large scale integration design,Hardware
Electronic design automation,Hardware
Application-specific VLSI designs,Hardware
Process control systems,Information systems
Design reuse and communication-based design,Electronic design automation
Design and analysis of algorithms,Electronic design automation
