child,parent
Hardware,Computing Classification System
Computing methodologies,Computing Classification System
Information systems,Computing Classification System
Theory of computation,Computing Classification System
Mathematics of computing,Computing Classification System
Applied computing,Computing Classification System
Security and privacy,Computing Classification System
Human-centered computing,Computing Classification System
Social and professional topics,Computing Classification System
General and reference,Computing Classification System
Professional topics,Social and professional topics
Management of computing and information systems,Professional topics
Computing / technology policy,Professional topics
"Computing standards, RFCs and guidelines",Professional topics
Project and people management,Professional topics
Patents,Professional topics
Intellectual property,Professional topics
Computing industry,Professional topics
Information systems applications,Information systems
World Wide Web,Information systems
Multimedia information systems,Information systems
Information retrieval,Information systems
Health care information systems,Information systems applications
Massively multiplayer online games,Information systems applications
Health information exchanges,Information systems applications
Multimedia databases,Multimedia information systems
Image compression,Multimedia information systems
Image manipulation,Multimedia information systems
Specialized information retrieval,Information retrieval
Retrieval models and ranking,Information retrieval
Information retrieval query processing,Information retrieval
Search engine architectures and scalability,Information retrieval
Search engine indexing,Information retrieval
Search index compression,Information retrieval
Retrieval effectiveness,Information retrieval
Evaluation of retrieval results,Information retrieval
Retrieval efficiency,Information retrieval
Top-k retrieval in databases,Information retrieval
Information retrieval diversity,Information retrieval
Rank aggregation,Information retrieval
Link and co-citation analysis,Information retrieval
Probabilistic representations,Information retrieval
Probabilistic retrieval models,Retrieval models and ranking
Peer-to-peer retrieval,Specialized information retrieval
Adversarial retrieval,Specialized information retrieval
Searching with auxiliary databases,Specialized information retrieval
"Combination, fusion and federated search",Specialized information retrieval
Very large scale integration design,Hardware
Hardware validation,Hardware
Hardware reliability,Hardware
Power and energy,Hardware
On-chip sensors,Hardware
Application specific instruction set processors,Hardware
VLSI system specification and constraints,Very large scale integration design
Application-specific VLSI designs,Very large scale integration design
VLSI design manufacturing considerations,Very large scale integration design
Design for manufacturability,VLSI design manufacturing considerations
Design reuse and communication-based design,Very large scale integration design
Soft intellectual property,Very large scale integration design
Platform-based design,Very large scale integration design
Die and wafer stacking,Very large scale integration design
VLSI packaging,Very large scale integration design
Yield and cost optimization,Very large scale integration design
Functional verification,Hardware validation
Physical verification,Hardware validation
Aging of circuits and systems,Hardware reliability
Fault tolerance,Hardware reliability
Power estimation and optimization,Power and energy
Circuits power issues,Power and energy
Thermal issues,Power and energy
Temperature monitoring,Power and energy
Machine learning,Computing methodologies
Modeling and simulation,Computing methodologies
