child,parent
Hardware,Computing Classification System
Security and privacy,Computing Classification System
Mathematics of computing,Computing Classification System
Networks,Computing Classification System
Information systems,Computing Classification System
Emerging technologies,Hardware
Systems security,Security and privacy
Human and societal aspects of security and privacy,Security and privacy
Continuous mathematics,Mathematics of computing
Probability and statistics,Mathematics of computing
Mathematical software,Mathematics of computing
Mathematical analysis,Continuous mathematics
Probabilistic representations,Probability and statistics
Statistical software,Mathematical software
Solvers,Mathematical software
Network architectures,Networks
Network design principles,Networks
Data management systems,Information systems
Programming interfaces,Information systems
