child,parent
Information systems,Information systems applications
Networks,Information systems applications
Security and privacy,Information systems applications
Human and societal aspects of security and privacy,Security and privacy
Cross-computing tools and techniques,Information systems applications
Mobile information processing systems,Information systems applications
Power and energy,Information systems applications
Energy distribution,Power and energy
Process control systems,Power and energy
Experimentation,Information systems applications
Estimation,Information systems applications
Validation,Information systems applications
Hardware,General and reference
Hardware validation,Hardware
Life and medical sciences,General and reference
Applied computing,General and reference
Computing Classification System,General and reference
Networks,Computing Classification System
Information systems applications,Computing Classification System
