child,parent
Information accountability and usage control,Systems security
VLSI packaging,Hardware
Electronic design automation,Hardware
Design reuse and communication-based design,Design and analysis of algorithms
Design and analysis of algorithms,Theory of computation
Very large scale integration design,VLSI packaging
Application-specific VLSI designs,Very large scale integration design
Process control systems,Information systems applications
Hardware attacks and countermeasures,Security in hardware
Database and storage security,Security in hardware
Security in hardware,Systems security
Security and privacy,Systems security
Formal methods and theory of security,Security and privacy
Human and societal aspects of security and privacy,Security and privacy
Theory of computation,Computing Classification System
Information systems applications,Information systems
