child,parent
Information systems,Computing Classification System
Computing methodologies,Computing Classification System
Computer systems organization,Computing Classification System
Hardware,Computing Classification System
Security and privacy,Computing Classification System
Human-centered computing,Computing Classification System
Applied computing,Computing Classification System
Theory of computation,Computing Classification System
Mathematics of computing,Computing Classification System
Social and professional topics,Computing Classification System
General and reference,Computing Classification System
Computing / technology policy,Computing Classification System
Architectures,Computer systems organization
Dependable and fault-tolerant systems and networks,Computer systems organization
Performance,Computer systems organization
Computing platforms,Computer systems organization
On-chip resource management,Computer systems organization
Serial architectures,Architectures
Distributed architectures,Architectures
Processors and memory architectures,Architectures
System-level fault tolerance,Dependable and fault-tolerant systems and networks
Failure prediction,Dependable and fault-tolerant systems and networks
Microcomputers,Computing platforms
Personal computers and PC applications,Computing platforms
Integrated circuits,Hardware
Electronic design automation,Hardware
"Communication hardware, interfaces and storage",Hardware
Reconfigurable logic and FPGAs,Hardware
Logic circuits,Hardware
Semiconductor memory,Hardware
Interconnect,Hardware
Power and energy,Hardware
Analysis and design of emerging devices and systems,Hardware
Electromechanical systems,Hardware
Sensor devices and platforms,Hardware
VLSI packaging,Integrated circuits
Standard cell libraries,Integrated circuits
Full-custom circuits,Integrated circuits
Analog and mixed-signal circuits,Integrated circuits
Hard and soft IP,Integrated circuits
Application specific processors,Integrated circuits
Application specific instruction set processors,Integrated circuits
Hardware accelerators,Integrated circuits
Programmable logic elements,Reconfigurable logic and FPGAs
Reconfigurable logic applications,Reconfigurable logic and FPGAs
Non-volatile memory,Semiconductor memory
Read-only memory,Semiconductor memory
Static memory,Semiconductor memory
Storage class memory,Semiconductor memory
Networking hardware,"Communication hardware, interfaces and storage"
Buses and high-speed links,"Communication hardware, interfaces and storage"
Wireline communication,"Communication hardware, interfaces and storage"
Digital switches,"Communication hardware, interfaces and storage"
Input / output circuits,"Communication hardware, interfaces and storage"
Wireless devices,"Communication hardware, interfaces and storage"
Package-level interconnect,Interconnect
Wire routing,Interconnect
Power estimation and optimization,Power and energy
Power and thermal analysis,Power and energy
Chip-level power issues,Power and energy
Platform power issues,Power and energy
Interconnect power issues,Power and energy
Switching devices power issues,Power and energy
Temperature optimization,Power and thermal analysis
Physical design (EDA),Electronic design automation
Physical synthesis,Electronic design automation
Design rule checking,Electronic design automation
Physical verification,Electronic design automation
Timing analysis,Electronic design automation
Timing analysis and sign-off,Timing analysis
Design for manufacturability,Electronic design automation
Design for testability,Electronic design automation
Design reuse and communication-based design,Electronic design automation
Hardware description languages and compilation,Electronic design automation
Partitioning and floorplanning,Physical design (EDA)
Power grid design,Physical design (EDA)
Clock-network synthesis,Physical design (EDA)
Hardware validation,Electronic design automation
Functional verification,Hardware validation
Transaction-level verification,Functional verification
Post-manufacture validation and debug,Hardware validation
Hardware test,Electronic design automation
Built-in self-test,Hardware test
Board- and system-level test,Hardware test
Defect-based test,Hardware test
Online test and diagnostics,Hardware test
Memory test and repair,Hardware test
Test-pattern generation and fault simulation,Hardware test
"Analog, mixed-signal and radio frequency test",Hardware test
Test data compression,Hardware test
Spintronics and magnetic technologies,Analysis and design of emerging devices and systems
Emerging technologies,Analysis and design of emerging devices and systems
